n_total,acad_year,season,n_in_acad_year,date,year,title,contributors_1,institutions_1,contributors_2,institutions_2,contributors_3,institutions_3,contributors_4,institutions_4,contributors_5,institutions_5,contributors_6,institutions_6,contributors_7,institutions_7,themes_1,themes_2,themes_3,themes_4,themes_5,themes_6,class outline
1,2014-2015,NA,1,07/04/2015,2015,Introduction to the Course,Monica Berti,University of Leipzig,,,,,,,,,,,,,,,,,,,
2,2014-2015,NA,2,14/04/2015,2015,"Ancient Named Entities in the Digital Age [Introduction to onomastics, prosopography, and geography]",Monica Berti,University of Leipzig,,,,,,,,,,,,,prosopography,geography,named entities,,,,"https://docs.google.com/document/d/1cPfOKTnGc5Mhu7UyA3LEdh5i990vpV0Fg1X23JS9vqc/edit?pli=1"
3,2014-2015,NA,3,21/04/2015,2015,"The Big Families [Examples of marked-up inscriptions, names, families, locations]",Kenny Morrell,"Center for Hellenic Studies, Harvard University",,,,,,,,,,,,,annotation,named entities,,,,,"https://docs.google.com/document/d/1cPfOKTnGc5Mhu7UyA3LEdh5i990vpV0Fg1X23JS9vqc/edit?pli=1"
4,2014-2015,NA,4,28/04/2015,2015,"Colonies and politics [Smith’s Dictionaries (translate and annotate entries), updating Wikipedia entries, SNAP ontology]",Irine Darchia,"Tbilisi State University, Georgia",Levan Gordeziani,"Tbilisi State University,Georgia",,,,,,,,,,,annotation,semantic Web,linked open data,,,,"https://docs.google.com/document/d/1cPfOKTnGc5Mhu7UyA3LEdh5i990vpV0Fg1X23JS9vqc/edit?pli=1"
5,2014-2015,NA,5,05/05/2015,2015,Who are the actors? Study in the language of Thuc. 1.89-118,Francesco Mambrini,"Deutsches Archäologisches Institut, Berlin",,,,,,,,,,,,,named entities,annotation,semantics,text mining,,,"https://docs.google.com/document/d/1cPfOKTnGc5Mhu7UyA3LEdh5i990vpV0Fg1X23JS9vqc/edit?pli=1"
6,2014-2015,NA,6,12/05/2015,2015,Thucydides and the revolt of Thasos (common session from Thasos) [Source analysis on Thasos],Michèle Brunet,University Lyon 2,Marie-Claire Beaulieu,Tufts University,,,,,,,,,,,annotation,epigraphy,,,,,"https://docs.google.com/document/d/1cPfOKTnGc5Mhu7UyA3LEdh5i990vpV0Fg1X23JS9vqc/edit?pli=1"
7,2014-2015,NA,7,19/05/2015,2015,What does Thucydides say about Thasos in his book? Can we see ruins that can be linked with the text? Thasian walls (common session from Thasos) [Funerary monuments (list of casualties) linking with literary sources],Michèle Brunet,University Lyon 2,,,,,,,,,,,,,annotation,translation,epigraphy,visualisation,,,"https://docs.google.com/document/d/1cPfOKTnGc5Mhu7UyA3LEdh5i990vpV0Fg1X23JS9vqc/edit?pli=1"
8,2014-2015,NA,8,26/05/2015,2015,The revolt of Samos in the ancient sources [Non verbal objects],Monica Berti,University of Leipzig,,,,,,,,,,,,,objects and artefacts,,,,,,"https://docs.google.com/document/d/1cPfOKTnGc5Mhu7UyA3LEdh5i990vpV0Fg1X23JS9vqc/edit?pli=1"
9,2014-2015,NA,9,02/06/2015,2015,"Thucydides and Thrace: linking texts, objects, and places [Annotating inscriptions with EpiDoc, translating inscriptions through EAGLE Europeana, annotating inscriptions in the Louvre, coins]",Dimitar Illiev,University of Sofia,Mirena Slavova,University of Sofia,,,,,,,,,,,annotation,objects and artefacts,maps and mapping,encoding,linked open data,XML-TEI,"https://docs.google.com/document/d/1cPfOKTnGc5Mhu7UyA3LEdh5i990vpV0Fg1X23JS9vqc/edit?pli=1"
10,2014-2015,NA,10,09/06/2015,2015,Keywords of war? Follow the words in Thucydides [Morphological annotations],Anise D'Orange Ferreira,Universidade Estadual Paulista,,,,,,,,,,,,,named entities,annotation,translation,,,,"https://docs.google.com/document/d/1cPfOKTnGc5Mhu7UyA3LEdh5i990vpV0Fg1X23JS9vqc/edit?pli=1"
11,2014-2015,NA,11,16/06/2015,2015,Treebanking texts and translations [Bare trees],Neven Jovanović,University of Zagreb,,,,,,,,,,,,,annotation,treebank,,,,,"https://docs.google.com/document/d/1cPfOKTnGc5Mhu7UyA3LEdh5i990vpV0Fg1X23JS9vqc/edit?pli=1"
12,2014-2015,NA,12,23/06/2015,2015,Comparing trees: an introduction to treebanking evaluation [Annotating trees],Giuseppe Celano,University of Leipzig,,,,,,,,,,,,,annotation,treebank,,,,,"https://docs.google.com/document/d/1cPfOKTnGc5Mhu7UyA3LEdh5i990vpV0Fg1X23JS9vqc/edit?pli=1"
13,2014-2015,NA,13,10/07/2015,2015,"Sunoikisis DC - An International Consortium of Digital Classics Programs [Digital Classicist Seminar Series 2015, http://www.digitalclassicist.org/wip/wip2015-06mb.html]",Monica Berti,University of Leipzig,Gregory R. Crane,Tufts University / University of Leipzig,Kenny Morrell,"Center for Hellenic Studies, Harvard University",,,,,,,,,,,,,,,
14,2015-2016,NA,1,03/02/2016,2016,Introduction to the Course,Monica Berti,University of Leipzig,,,,,,,,,,,,,,,,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Introduction-to-the-Course-%28February-3%29"
15,2015-2016,NA,2,10/02/2016,2016,Introduction to Treebanking Part I,Giuseppe Celano,University of Leipzig,Dag Haug,University of Oslo,,,,,,,,,,,annotation,treebank,,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Introduction-to-Treebanking-Part-I-%28February-10%29"
16,2015-2016,NA,3,17/02/2016,2016,Introduction to Treebanking Part II,Giuseppe Celano,University of Leipzig,,,,,,,,,,,,,annotation,treebank,,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Introduction-to-Treebanking-Part-II-%28February-17%29"
17,2015-2016,NA,4,24/02/2016,2016,Named Entity Recognition: SNAP and Recogito,Gabriel Bodard,University of London,Chiara Palladino,University of Bari / University of Leipzig,,,,,,,,,,,named entities,,,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Named-Entity-Recognition:-SNAP-and-Recogito-%28February-24%29"
18,2015-2016,NA,5,02/03/2016,2016,Encoding of Ancient Texts,Federico Aurora,University of Oslo,Gabriel Bodard,University of London,Simona Stoyanova,King's College London,,,,,,,,,encoding,annotation,,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Encoding-of-ancient-texts-%28Leiden,-EpiDoc,-EAGLE,-SoSOL%29-%28March-2%29"
19,2015-2016,NA,6,09/03/2016,2016,Annotation and Alignment of Texts and Objects,Marie-Claire Beaulieu,Tufts University,Gabriel Bodard,University of London,Tim Buckingham,Tufts University,Pietro Liuzzo,University of Heidelberg,,,,,,,annotation,encoding,visualisation,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Annotation-and-alignment-of-texts-and-objects-%28Perseids,-Wikimedia-Commons,-Flickr%29-%28March-9%29"
20,2015-2016,NA,7,16/03/2016,2016,"3D Imaging, Scanning, Printing",Eleni Bozia,University of Florida,Sara Gonzalez,University of Florida,Valeria Vitale,King's College London,,,,,,,,,digitisation,visualisation,,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/3D-Imaging,-Scanning,-Printing-%28March-16%29"
21,2015-2016,NA,8,23/03/2016,2016,3D Modelling for Cultural Heritage,Valeria Vitale,King's College London,Gabriel Bodard,University of London,,,,,,,,,,,digitisation,visualisation,cultural studies,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/3D-Modelling-for-Cultural-Heritage-%28March-23%29"
22,2015-2016,NA,9,30/03/2016,2016,Teaching Classics in the digital era: pedagogical and logistical issues,Ryan Fowler,Franklin & Marshall College,Gwen Gruber,University of Iowa,J. Matthew Harrington,Tufts University,Kenny Morrell,"Rhodes College & Center for Hellenic Studies, Harvard University",,,,,,,teaching and pedagogy,,,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Teaching-Classics-in-the-digital-era:-pedagogical-and-logistical-issues-%28March-30%29"
23,2015-2016,NA,10,06/04/2016,2016,Inscriptions in Lucian’s True Stories,Michèle Brunet,University Lyon 2,students,,,,,,,,,,,,epigraphy,text mining,annotation,text analysis,objects and artefacts,,"https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Inscriptions-in-Lucian’s-True-Stories-%28April-6%29"
24,2015-2016,NA,11,13/04/2016,2016,"Odyssey: Named Entities Annotation, Translation Alignment",Aurélien Berra,Paris Nanterre University,students,,,,,,,,,,,,named entities,annotation,translation,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Odyssey:-named-entities-annotation,-translation-alignment-%28April-13%29"
25,2015-2016,NA,12,20/04/2016,2016,Digital Tools for the Arts and Humanities: students’ presentations (University of Florida),Eleni Bozia,University of Florida,students,,,,,,,,,,,,,,,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Digital-Tools-for-the-Arts-and-Humanities:-students’-presentations-%28University-of-Florida%29-%28April-20%29"
26,2015-2016,NA,13,27/04/2016,2016,"Aristotle: Translation Alignment (Greek, Latin, Arabic)",Usama Gad,"Ain Shams University, Cairo / University of Heidelberg",Riccardo Strobino,Tufts University,,,,,,,,,,,encoding,translation,,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Aristotle:-Translation-Alignment-%28Greek,-Latin,-Arabic%29-%28April-27%29"
27,2015-2016,NA,14,04/05/2016,2016,Annotation of Geographical Data,Chiara Palladino,University of Bari / University of Leipzig,Maxim Romanov,University of Leipzig,,,,,,,,,,,encoding,geography,named entities,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Annotation-of-Geographical-Data-%28May-4%29"
28,2015-2016,NA,15,11/05/2016,2016,"Aligned Translations, Treebanking Part I",Neven Jovanović,University of Zagreb,Petra Šoštarić,University of Zagreb,Mario Benedik,University of Zagreb,Dunja Ševerdija,University of Zagreb,,,,,,,encoding,translation,treebank,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Aligned-Translations,-Treebanking-Part-I-%28May-11%29"
29,2015-2016,NA,16,18/05/2016,2016,"Aligned Translations, Treebanking Part II",Anise D'Orange Ferreira,Universidade Estadual Paulista,,,,,,,,,,,,,encoding,translation,treebank,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Aligned-Translations,-Treebanking-Part-II-%28May-18%29"
30,2015-2016,NA,17,27/05/2016,2016,Reading Plato with Digital Tools,Irine Darchia,"Tbilisi State University, Georgia",,,,,,,,,,,,,text analysis,text mining,treebank,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Reading-Plato-with-Digital-Tools-%28May-27%29"
31,2015-2016,NA,18,01/06/2016,2016,Text and Digital Editing (Lexicography and Geography),Stylianos Chronopoulos,University of Freiburg,Tariq Yousef,University of Leipzig,Chiara Palladino,University of Bari / University of Leipzig,,,,,,,,,encoding,geography,named entities,XML-TEI,annotation,,"https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Text-and-Digital-Editing-%28Lexicography-and-Geography%29-%28June-1%29"
32,2015-2016,NA,19,08/06/2016,2016,Annotating Quotations and Text Reuses,Monica Berti,University of Leipzig,Stylianos Chronopoulos,University of Freiburg,,,,,,,,,,,annotation,,,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Annotating-Quotations-and-Text-Reuses-%28June-8%29"
33,2015-2016,NA,20,15/06/2016,2016,Presenting SunoikisisDC 2016 at the CHS Common Day,Monica Berti,University of Leipzig,Gregory R. Crane,Tufts University / University of Leipzig,,,,,,,,,,,,,,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Presenting-SunoikisisDC-2016-at-the-CHS-Common-Day-(June-15)"
34,2015-2016,NA,21,22/06/2016,2016,Digitizing Inscriptions from Georgia,Levan Gordeziani,"Tbilisi State University, Georgia",,,,,,,,,,,,,digitisation,epigraphy,,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Digitizing-Inscriptions-from-Georgia-%28June-22%29"
35,2015-2016,NA,22,29/06/2016,2016,"Teaching Greek through (digital) epigraphy, epigraphy through Greek",Dimitar Illiev,University of Sofia,students,,,,,,,,,,,,teaching and pedagogy,epigraphy,,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Teaching-Greek-through-(digital)-epigraphy,-epigraphy-through-Greek-(June-29)"
36,2015-2016,NA,23,06/07/2016,2016,Open Persian,Maryam Foradi,University of Leipzig,,,,,,,,,,,,,translation,,,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016/wiki/Open-Persian-%28July-6%29"
37,2016-2017,Fall,1,29/09/2016,2016,Introduction: Object artefact script,Gabriel Bodard,University of London,,,,,,,,,,,,,objects and artefacts,,,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Session-1:-Object-Artefact-Script"
38,2016-2017,Fall,2,06/10/2016,2016,"3D Imaging, Photogrammetry",Sebastian Heath,"Institute for the Study of the Ancient World, New York University",,,,,,,,,,,,,digitisation,visualisation,,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Session-2:-3D-Imaging,-Photogrammetry"
39,2016-2017,Fall,3,13/10/2016,2016,Geography 1: Gazetteers,Valeria Vitale,King's College London,Usama Gad,"Ain Shams University,Cairo / University of Heidelberg",Gabriel Bodard,University of London,,,,,,,,,geography,maps and mapping,annotation,visualisation,linked open data,,"https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Session-3:-Geography-1:-Gazetteers"
40,2016-2017,Fall,4,20/10/2016,2016,"3D Modelling, Computer Aided Design",Valeria Vitale,King's College London,,,,,,,,,,,,,digitisation,archaeology,,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Session-4:-3D-Modelling,-Computer-Aided-Design"
41,2016-2017,Fall,5,27/10/2016,2016,Geography 2: CartoDB,Tom Elliott,"Institute for the Study of the Ancient World, New York University",,,,,,,,,,,,,maps and mapping,geography,linked open data,visualisation,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Session-5:-Geography-2:-CartoDB"
42,2016-2017,Fall,6,03/11/2016,2016,Geography 3: GIS,Leif Isaksen,Lancaster University,,,,,,,,,,,,,maps and mapping,visualisation,,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Session-6:-Geography-3:-GIS"
43,2016-2017,Fall,7,10/11/2016,2016,Ontologies and Data Modelling,Arianna Ciula,Roehampton University,Charlotte Tupman,University of Exeter,,,,,,,,,,,linked open data,encoding,standards,data mining,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Session-7:-Ontologies-and-Data-Modelling"
44,2016-2017,Fall,8,17/11/2016,2016,Data Structuring and Querying,Tom Elliott,"Institute for the Study of the Ancient World, New York University",Sebastian Heath,"Institute for the Study of the Ancient World, New York University",,,,,,,,,,,database,XML-TEI,encoding,,,,"https://github.com/SunoikisisDC/SunoikisisDC-2016-2017/wiki/Session-8:-Data-Structuring-and-Querying"
